year,level_1,level_2,level_3,value
1975,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1976,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1976,All Items,Food Excl Food Servicing Services,Meat,na
1976,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1976,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1976,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1976,All Items,Food Excl Food Servicing Services,Fruits,na
1976,All Items,Food Excl Food Servicing Services,Vegetables,na
1976,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1976,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1976,All Items,Food Excl Food Servicing Services,Other Food,na
1976,All Items,Food Servicing Services,Restaurant Food,na
1976,All Items,Food Servicing Services,Fast Food,na
1976,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1976,All Items,Food Servicing Services,Catered Food,na
1976,All Items,Housing & Utilities,Accommodation,na
1976,All Items,Housing & Utilities,Fuel & Utilities,na
1976,All Items,Household Durables And Services,Household Durables,na
1976,All Items,Household Durables And Services,Household Services & Supplies,na
1976,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1976,All Items,Health Care,Medical & Dental Treatment,na
1976,All Items,Transport,Private Road Transport,na
1976,All Items,Transport,Public Road Transport,na
1976,All Items,Transport,Other Travel & Transport,na
1976,All Items,Recreation & Culture,Recreation & Entertainment,na
1976,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1976,All Items,Recreation & Culture,Holiday Expenses,na
1976,All Items,Education,Tuition & Other Fees,na
1976,All Items,Education,School Textbooks & Related Study Guides,na
1976,All Items,Miscellaneous Goods & Services,Personal Care,na
1976,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1976,All Items,Miscellaneous Goods & Services,Personal Effects,na
1976,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1977,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1977,All Items,Food Excl Food Servicing Services,Meat,na
1977,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1977,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1977,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1977,All Items,Food Excl Food Servicing Services,Fruits,na
1977,All Items,Food Excl Food Servicing Services,Vegetables,na
1977,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1977,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1977,All Items,Food Excl Food Servicing Services,Other Food,na
1977,All Items,Food Servicing Services,Restaurant Food,na
1977,All Items,Food Servicing Services,Fast Food,na
1977,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1977,All Items,Food Servicing Services,Catered Food,na
1977,All Items,Housing & Utilities,Accommodation,na
1977,All Items,Housing & Utilities,Fuel & Utilities,na
1977,All Items,Household Durables And Services,Household Durables,na
1977,All Items,Household Durables And Services,Household Services & Supplies,na
1977,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1977,All Items,Health Care,Medical & Dental Treatment,na
1977,All Items,Transport,Private Road Transport,na
1977,All Items,Transport,Public Road Transport,na
1977,All Items,Transport,Other Travel & Transport,na
1977,All Items,Recreation & Culture,Recreation & Entertainment,na
1977,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1977,All Items,Recreation & Culture,Holiday Expenses,na
1977,All Items,Education,Tuition & Other Fees,na
1977,All Items,Education,School Textbooks & Related Study Guides,na
1977,All Items,Miscellaneous Goods & Services,Personal Care,na
1977,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1977,All Items,Miscellaneous Goods & Services,Personal Effects,na
1977,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1978,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1978,All Items,Food Excl Food Servicing Services,Meat,na
1978,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1978,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1978,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1978,All Items,Food Excl Food Servicing Services,Fruits,na
1978,All Items,Food Excl Food Servicing Services,Vegetables,na
1978,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1978,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1978,All Items,Food Excl Food Servicing Services,Other Food,na
1978,All Items,Food Servicing Services,Restaurant Food,na
1978,All Items,Food Servicing Services,Fast Food,na
1978,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1978,All Items,Food Servicing Services,Catered Food,na
1978,All Items,Housing & Utilities,Accommodation,na
1978,All Items,Housing & Utilities,Fuel & Utilities,na
1978,All Items,Household Durables And Services,Household Durables,na
1978,All Items,Household Durables And Services,Household Services & Supplies,na
1978,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1978,All Items,Health Care,Medical & Dental Treatment,na
1978,All Items,Transport,Private Road Transport,na
1978,All Items,Transport,Public Road Transport,na
1978,All Items,Transport,Other Travel & Transport,na
1978,All Items,Recreation & Culture,Recreation & Entertainment,na
1978,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1978,All Items,Recreation & Culture,Holiday Expenses,na
1978,All Items,Education,Tuition & Other Fees,na
1978,All Items,Education,School Textbooks & Related Study Guides,na
1978,All Items,Miscellaneous Goods & Services,Personal Care,na
1978,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1978,All Items,Miscellaneous Goods & Services,Personal Effects,na
1978,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1979,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1979,All Items,Food Excl Food Servicing Services,Meat,na
1979,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1979,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1979,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1979,All Items,Food Excl Food Servicing Services,Fruits,na
1979,All Items,Food Excl Food Servicing Services,Vegetables,na
1979,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1979,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1979,All Items,Food Excl Food Servicing Services,Other Food,na
1979,All Items,Food Servicing Services,Restaurant Food,na
1979,All Items,Food Servicing Services,Fast Food,na
1979,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1979,All Items,Food Servicing Services,Catered Food,na
1979,All Items,Housing & Utilities,Accommodation,na
1979,All Items,Housing & Utilities,Fuel & Utilities,na
1979,All Items,Household Durables And Services,Household Durables,na
1979,All Items,Household Durables And Services,Household Services & Supplies,na
1979,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1979,All Items,Health Care,Medical & Dental Treatment,na
1979,All Items,Transport,Private Road Transport,na
1979,All Items,Transport,Public Road Transport,na
1979,All Items,Transport,Other Travel & Transport,na
1979,All Items,Recreation & Culture,Recreation & Entertainment,na
1979,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1979,All Items,Recreation & Culture,Holiday Expenses,na
1979,All Items,Education,Tuition & Other Fees,na
1979,All Items,Education,School Textbooks & Related Study Guides,na
1979,All Items,Miscellaneous Goods & Services,Personal Care,na
1979,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1979,All Items,Miscellaneous Goods & Services,Personal Effects,na
1979,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1980,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1980,All Items,Food Excl Food Servicing Services,Meat,na
1980,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1980,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1980,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1980,All Items,Food Excl Food Servicing Services,Fruits,na
1980,All Items,Food Excl Food Servicing Services,Vegetables,na
1980,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1980,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1980,All Items,Food Excl Food Servicing Services,Other Food,na
1980,All Items,Food Servicing Services,Restaurant Food,na
1980,All Items,Food Servicing Services,Fast Food,na
1980,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1980,All Items,Food Servicing Services,Catered Food,na
1980,All Items,Housing & Utilities,Accommodation,na
1980,All Items,Housing & Utilities,Fuel & Utilities,na
1980,All Items,Household Durables And Services,Household Durables,na
1980,All Items,Household Durables And Services,Household Services & Supplies,na
1980,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1980,All Items,Health Care,Medical & Dental Treatment,na
1980,All Items,Transport,Private Road Transport,na
1980,All Items,Transport,Public Road Transport,na
1980,All Items,Transport,Other Travel & Transport,na
1980,All Items,Recreation & Culture,Recreation & Entertainment,na
1980,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1980,All Items,Recreation & Culture,Holiday Expenses,na
1980,All Items,Education,Tuition & Other Fees,na
1980,All Items,Education,School Textbooks & Related Study Guides,na
1980,All Items,Miscellaneous Goods & Services,Personal Care,na
1980,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1980,All Items,Miscellaneous Goods & Services,Personal Effects,na
1980,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1981,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1981,All Items,Food Excl Food Servicing Services,Meat,na
1981,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1981,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1981,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1981,All Items,Food Excl Food Servicing Services,Fruits,na
1981,All Items,Food Excl Food Servicing Services,Vegetables,na
1981,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1981,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1981,All Items,Food Excl Food Servicing Services,Other Food,na
1981,All Items,Food Servicing Services,Restaurant Food,na
1981,All Items,Food Servicing Services,Fast Food,na
1981,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1981,All Items,Food Servicing Services,Catered Food,na
1981,All Items,Housing & Utilities,Accommodation,na
1981,All Items,Housing & Utilities,Fuel & Utilities,na
1981,All Items,Household Durables And Services,Household Durables,na
1981,All Items,Household Durables And Services,Household Services & Supplies,na
1981,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1981,All Items,Health Care,Medical & Dental Treatment,na
1981,All Items,Transport,Private Road Transport,na
1981,All Items,Transport,Public Road Transport,na
1981,All Items,Transport,Other Travel & Transport,na
1981,All Items,Recreation & Culture,Recreation & Entertainment,na
1981,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1981,All Items,Recreation & Culture,Holiday Expenses,na
1981,All Items,Education,Tuition & Other Fees,na
1981,All Items,Education,School Textbooks & Related Study Guides,na
1981,All Items,Miscellaneous Goods & Services,Personal Care,na
1981,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1981,All Items,Miscellaneous Goods & Services,Personal Effects,na
1981,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1982,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1982,All Items,Food Excl Food Servicing Services,Meat,na
1982,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1982,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1982,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1982,All Items,Food Excl Food Servicing Services,Fruits,na
1982,All Items,Food Excl Food Servicing Services,Vegetables,na
1982,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1982,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1982,All Items,Food Excl Food Servicing Services,Other Food,na
1982,All Items,Food Servicing Services,Restaurant Food,na
1982,All Items,Food Servicing Services,Fast Food,na
1982,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1982,All Items,Food Servicing Services,Catered Food,na
1982,All Items,Housing & Utilities,Accommodation,na
1982,All Items,Housing & Utilities,Fuel & Utilities,na
1982,All Items,Household Durables And Services,Household Durables,na
1982,All Items,Household Durables And Services,Household Services & Supplies,na
1982,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1982,All Items,Health Care,Medical & Dental Treatment,na
1982,All Items,Transport,Private Road Transport,na
1982,All Items,Transport,Public Road Transport,na
1982,All Items,Transport,Other Travel & Transport,na
1982,All Items,Recreation & Culture,Recreation & Entertainment,na
1982,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1982,All Items,Recreation & Culture,Holiday Expenses,na
1982,All Items,Education,Tuition & Other Fees,na
1982,All Items,Education,School Textbooks & Related Study Guides,na
1982,All Items,Miscellaneous Goods & Services,Personal Care,na
1982,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1982,All Items,Miscellaneous Goods & Services,Personal Effects,na
1982,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1983,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1983,All Items,Food Excl Food Servicing Services,Meat,na
1983,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1983,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1983,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1983,All Items,Food Excl Food Servicing Services,Fruits,na
1983,All Items,Food Excl Food Servicing Services,Vegetables,na
1983,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1983,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1983,All Items,Food Excl Food Servicing Services,Other Food,na
1983,All Items,Food Servicing Services,Restaurant Food,na
1983,All Items,Food Servicing Services,Fast Food,na
1983,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1983,All Items,Food Servicing Services,Catered Food,na
1983,All Items,Housing & Utilities,Accommodation,na
1983,All Items,Housing & Utilities,Fuel & Utilities,na
1983,All Items,Household Durables And Services,Household Durables,na
1983,All Items,Household Durables And Services,Household Services & Supplies,na
1983,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1983,All Items,Health Care,Medical & Dental Treatment,na
1983,All Items,Transport,Private Road Transport,na
1983,All Items,Transport,Public Road Transport,na
1983,All Items,Transport,Other Travel & Transport,na
1983,All Items,Recreation & Culture,Recreation & Entertainment,na
1983,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1983,All Items,Recreation & Culture,Holiday Expenses,na
1983,All Items,Education,Tuition & Other Fees,na
1983,All Items,Education,School Textbooks & Related Study Guides,na
1983,All Items,Miscellaneous Goods & Services,Personal Care,na
1983,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1983,All Items,Miscellaneous Goods & Services,Personal Effects,na
1983,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1984,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1984,All Items,Food Excl Food Servicing Services,Meat,na
1984,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1984,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1984,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1984,All Items,Food Excl Food Servicing Services,Fruits,na
1984,All Items,Food Excl Food Servicing Services,Vegetables,na
1984,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1984,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1984,All Items,Food Excl Food Servicing Services,Other Food,na
1984,All Items,Food Servicing Services,Restaurant Food,na
1984,All Items,Food Servicing Services,Fast Food,na
1984,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1984,All Items,Food Servicing Services,Catered Food,na
1984,All Items,Housing & Utilities,Accommodation,na
1984,All Items,Housing & Utilities,Fuel & Utilities,na
1984,All Items,Household Durables And Services,Household Durables,na
1984,All Items,Household Durables And Services,Household Services & Supplies,na
1984,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1984,All Items,Health Care,Medical & Dental Treatment,na
1984,All Items,Transport,Private Road Transport,na
1984,All Items,Transport,Public Road Transport,na
1984,All Items,Transport,Other Travel & Transport,na
1984,All Items,Recreation & Culture,Recreation & Entertainment,na
1984,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1984,All Items,Recreation & Culture,Holiday Expenses,na
1984,All Items,Education,Tuition & Other Fees,na
1984,All Items,Education,School Textbooks & Related Study Guides,na
1984,All Items,Miscellaneous Goods & Services,Personal Care,na
1984,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1984,All Items,Miscellaneous Goods & Services,Personal Effects,na
1984,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1985,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1985,All Items,Food Excl Food Servicing Services,Meat,na
1985,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1985,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1985,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1985,All Items,Food Excl Food Servicing Services,Fruits,na
1985,All Items,Food Excl Food Servicing Services,Vegetables,na
1985,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1985,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1985,All Items,Food Excl Food Servicing Services,Other Food,na
1985,All Items,Food Servicing Services,Restaurant Food,na
1985,All Items,Food Servicing Services,Fast Food,na
1985,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1985,All Items,Food Servicing Services,Catered Food,na
1985,All Items,Housing & Utilities,Accommodation,na
1985,All Items,Housing & Utilities,Fuel & Utilities,na
1985,All Items,Household Durables And Services,Household Durables,na
1985,All Items,Household Durables And Services,Household Services & Supplies,na
1985,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1985,All Items,Health Care,Medical & Dental Treatment,na
1985,All Items,Transport,Private Road Transport,na
1985,All Items,Transport,Public Road Transport,na
1985,All Items,Transport,Other Travel & Transport,na
1985,All Items,Recreation & Culture,Recreation & Entertainment,na
1985,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1985,All Items,Recreation & Culture,Holiday Expenses,na
1985,All Items,Education,Tuition & Other Fees,na
1985,All Items,Education,School Textbooks & Related Study Guides,na
1985,All Items,Miscellaneous Goods & Services,Personal Care,na
1985,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1985,All Items,Miscellaneous Goods & Services,Personal Effects,na
1985,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1986,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1986,All Items,Food Excl Food Servicing Services,Meat,na
1986,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1986,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1986,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1986,All Items,Food Excl Food Servicing Services,Fruits,na
1986,All Items,Food Excl Food Servicing Services,Vegetables,na
1986,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1986,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1986,All Items,Food Excl Food Servicing Services,Other Food,na
1986,All Items,Food Servicing Services,Restaurant Food,na
1986,All Items,Food Servicing Services,Fast Food,na
1986,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1986,All Items,Food Servicing Services,Catered Food,na
1986,All Items,Housing & Utilities,Accommodation,na
1986,All Items,Housing & Utilities,Fuel & Utilities,na
1986,All Items,Household Durables And Services,Household Durables,na
1986,All Items,Household Durables And Services,Household Services & Supplies,na
1986,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1986,All Items,Health Care,Medical & Dental Treatment,na
1986,All Items,Transport,Private Road Transport,na
1986,All Items,Transport,Public Road Transport,na
1986,All Items,Transport,Other Travel & Transport,na
1986,All Items,Recreation & Culture,Recreation & Entertainment,na
1986,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1986,All Items,Recreation & Culture,Holiday Expenses,na
1986,All Items,Education,Tuition & Other Fees,na
1986,All Items,Education,School Textbooks & Related Study Guides,na
1986,All Items,Miscellaneous Goods & Services,Personal Care,na
1986,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1986,All Items,Miscellaneous Goods & Services,Personal Effects,na
1986,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1987,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1987,All Items,Food Excl Food Servicing Services,Meat,na
1987,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1987,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1987,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1987,All Items,Food Excl Food Servicing Services,Fruits,na
1987,All Items,Food Excl Food Servicing Services,Vegetables,na
1987,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1987,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1987,All Items,Food Excl Food Servicing Services,Other Food,na
1987,All Items,Food Servicing Services,Restaurant Food,na
1987,All Items,Food Servicing Services,Fast Food,na
1987,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1987,All Items,Food Servicing Services,Catered Food,na
1987,All Items,Housing & Utilities,Accommodation,na
1987,All Items,Housing & Utilities,Fuel & Utilities,na
1987,All Items,Household Durables And Services,Household Durables,na
1987,All Items,Household Durables And Services,Household Services & Supplies,na
1987,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1987,All Items,Health Care,Medical & Dental Treatment,na
1987,All Items,Transport,Private Road Transport,na
1987,All Items,Transport,Public Road Transport,na
1987,All Items,Transport,Other Travel & Transport,na
1987,All Items,Recreation & Culture,Recreation & Entertainment,na
1987,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1987,All Items,Recreation & Culture,Holiday Expenses,na
1987,All Items,Education,Tuition & Other Fees,na
1987,All Items,Education,School Textbooks & Related Study Guides,na
1987,All Items,Miscellaneous Goods & Services,Personal Care,na
1987,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1987,All Items,Miscellaneous Goods & Services,Personal Effects,na
1987,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1988,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1988,All Items,Food Excl Food Servicing Services,Meat,na
1988,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1988,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1988,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1988,All Items,Food Excl Food Servicing Services,Fruits,na
1988,All Items,Food Excl Food Servicing Services,Vegetables,na
1988,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1988,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1988,All Items,Food Excl Food Servicing Services,Other Food,na
1988,All Items,Food Servicing Services,Restaurant Food,na
1988,All Items,Food Servicing Services,Fast Food,na
1988,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1988,All Items,Food Servicing Services,Catered Food,na
1988,All Items,Housing & Utilities,Accommodation,na
1988,All Items,Housing & Utilities,Fuel & Utilities,na
1988,All Items,Household Durables And Services,Household Durables,na
1988,All Items,Household Durables And Services,Household Services & Supplies,na
1988,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1988,All Items,Health Care,Medical & Dental Treatment,na
1988,All Items,Transport,Private Road Transport,na
1988,All Items,Transport,Public Road Transport,na
1988,All Items,Transport,Other Travel & Transport,na
1988,All Items,Recreation & Culture,Recreation & Entertainment,na
1988,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1988,All Items,Recreation & Culture,Holiday Expenses,na
1988,All Items,Education,Tuition & Other Fees,na
1988,All Items,Education,School Textbooks & Related Study Guides,na
1988,All Items,Miscellaneous Goods & Services,Personal Care,na
1988,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1988,All Items,Miscellaneous Goods & Services,Personal Effects,na
1988,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1989,All Items,Food Excl Food Servicing Services,Bread & Cereals,na
1989,All Items,Food Excl Food Servicing Services,Meat,na
1989,All Items,Food Excl Food Servicing Services,Fish & Seafood,na
1989,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",na
1989,All Items,Food Excl Food Servicing Services,Oils & Fats,na
1989,All Items,Food Excl Food Servicing Services,Fruits,na
1989,All Items,Food Excl Food Servicing Services,Vegetables,na
1989,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",na
1989,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,na
1989,All Items,Food Excl Food Servicing Services,Other Food,na
1989,All Items,Food Servicing Services,Restaurant Food,na
1989,All Items,Food Servicing Services,Fast Food,na
1989,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),na
1989,All Items,Food Servicing Services,Catered Food,na
1989,All Items,Housing & Utilities,Accommodation,na
1989,All Items,Housing & Utilities,Fuel & Utilities,na
1989,All Items,Household Durables And Services,Household Durables,na
1989,All Items,Household Durables And Services,Household Services & Supplies,na
1989,All Items,Health Care,"Medical Products, Appliances & Equipment",na
1989,All Items,Health Care,Medical & Dental Treatment,na
1989,All Items,Transport,Private Road Transport,na
1989,All Items,Transport,Public Road Transport,na
1989,All Items,Transport,Other Travel & Transport,na
1989,All Items,Recreation & Culture,Recreation & Entertainment,na
1989,All Items,Recreation & Culture,"Newspapers, Books & Stationery",na
1989,All Items,Recreation & Culture,Holiday Expenses,na
1989,All Items,Education,Tuition & Other Fees,na
1989,All Items,Education,School Textbooks & Related Study Guides,na
1989,All Items,Miscellaneous Goods & Services,Personal Care,na
1989,All Items,Miscellaneous Goods & Services,Alcoholic Drinks & Tobacco,na
1989,All Items,Miscellaneous Goods & Services,Personal Effects,na
1989,All Items,Miscellaneous Goods & Services,Other Miscellaneous Expenditure,na
1990,All Items,Food Excl Food Servicing Services,Bread & Cereals,59.855
1990,All Items,Food Excl Food Servicing Services,Meat,54.282
1990,All Items,Food Excl Food Servicing Services,Fish & Seafood,58.462
1990,All Items,Food Excl Food Servicing Services,"Milk, Cheese & Eggs",62.291
1990,All Items,Food Excl Food Servicing Services,Oils & Fats,65.595
1990,All Items,Food Excl Food Servicing Services,Fruits,67.896
1990,All Items,Food Excl Food Servicing Services,Vegetables,71.711
1990,All Items,Food Excl Food Servicing Services,"Sugar, Preserves & Confectionery",79.183
1990,All Items,Food Excl Food Servicing Services,Non-alcoholic Beverages,78.873
1990,All Items,Food Excl Food Servicing Services,Other Food,64.165
1990,All Items,Food Servicing Services,Restaurant Food,57.368
1990,All Items,Food Servicing Services,Fast Food,66.942
1990,All Items,Food Servicing Services,Hawker Food (Incl. Food Courts),64.948
1990,All Items,Food Servicing Services,Catered Food,na
1990,All Items,Housing & Utilities,Accommodation,56.959
1990,All Items,Housing & Utilities,Fuel & Utilities,47.776
1990,All Items,Household Durables And Services,Household Durables,99.431
1990,All Items,Household Durables And Services,Household Services & Supplies,69.23
1990,All Items,Health Care,"Medical Products, Appliances & Equipment",75.478
1990,All Items,Health Care,Medical & Dental Treatment,41.955
1990,All Items,Transport,Private Road Transport,62.418
1990,All Items,Transport,Public Road Transport,58.345
1990,All Items,Transport,Other Travel & Transport,83.119
1990,All Items,Recreation & Culture,Recreation & Entertainment,99.681
1990,All Items,Recreation & Culture,"Newspapers, Books & Stationery",67.504
1990,All Items,Recreation & Culture,Holiday Expenses,76.043
1990,All Items,Education,Tuition & Other Fees,38.845
1990,All Items,Education,School Textbooks & Related Study Guides,53.673
1990,All Items,Miscellaneous Goods & Services,Personal Care,82.79
